Literature Source,Kingdom,Subkingdom,Division,Class,Subclass,Order,Family,Genus,Species,Life_form,Latitude,Longitude,MAT(degC),MAP(mm),Altitude,Site1,Country,Continent,ClimRegion,Tissue,SLA,LMA,Nitrogen,Phosphorus,Calcium,Magnesium,Carbon,Tannins_cond,Tannins_wat,Lignin,Cellulose_percent,Hemicellulose_percent,Fiber_content_percent
679,Plantae,Tracheobionta,Magnoliophyta,Magnoliopsida,Rosidae,Fabales,Fabaceae,Abarema,Abarema curvicarpa,T,5.3,-53.5,25.8,3000,NA,St-Elie(DVD),French Guiana,SAm,TR,leaf,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
646,Plantae,Tracheobionta,Magnoliophyta,Magnoliopsida,Rosidae,Fabales,Fabaceae,Abarema,Abarema jupunba,T,4,-53,25,3000,NA,NA,French Guiana,SAm,TR,leaf,NA,NA,21.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
679,Plantae,Tracheobionta,Magnoliophyta,Magnoliopsida,Rosidae,Fabales,Fabaceae,Abarema,Abarema jupunba,T,5.33,-52.83,25.8,2900,NA,Paracou,French Guiana,SAm,TR,leaf,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
679,Plantae,Tracheobionta,Magnoliophyta,Magnoliopsida,Rosidae,Fabales,Fabaceae,Abarema,Abarema jupunba,T,5.3,-53.5,25.8,3000,NA,St-Elie(DVD),French Guiana,SAm,TR,leaf,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
679,Plantae,Tracheobionta,Magnoliophyta,Magnoliopsida,Rosidae,Fabales,Fabaceae,Abarema,Abarema jupunba,T,5.3,-53.5,25.8,3000,NA,St-Elie(SLD),French Guiana,SAm,TR,leaf,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
781,Plantae,Tracheobionta,Magnoliophyta,Magnoliopsida,Rosidae,Fabales,Fabaceae/Mimo,Abarema,Abarema jupunba,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,leaf,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
795,Plantae,Tracheobionta,Magnoliophyta,Magnoliopsida,Rosidae,Fabales,Fabaceae/Mimosaceae,Abarema,Abarema jupunba var. jupunba,T,-1.75,-47.08,25.9,2836.7,48,NA,Brazil,SAm,TR,leaf,NA,NA,21.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
795,Plantae,Tracheobionta,Magnoliophyta,Magnoliopsida,Rosidae,Fabales,Fabaceae/Mimosaceae,Abarema,Abarema jupunba var. jupunba,T,-1.75,-47.08,25.9,2836.7,48,NA,Brazil,SAm,TR,leaf,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
795,Plantae,Tracheobionta,Magnoliophyta,Magnoliopsida,Rosidae,Fabales,Fabaceae/Mimosaceae,Abarema,Abarema jupunba var. jupunba,T,-1.75,-47.08,25.9,2836.7,48,NA,Brazil,SAm,TR,leaf,NA,NA,29.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
795,Plantae,Tracheobionta,Magnoliophyta,Magnoliopsida,Rosidae,Fabales,Fabaceae/Mimosaceae,Abarema,Abarema jupunba var. jupunba,T,-1.75,-47.08,25.9,2836.7,48,NA,Brazil,SAm,TR,leaf,NA,NA,29.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
